"seqnames","start","end","width","strand","gene_id","gene_name","biotype"
"chr1",5862811,5992261,129451,"-","ENSG00000131697.18","NPHP4","protein_coding"
"chr1",6206119,6221192,15074,"+","ENSG00000158286.13","RNF207","protein_coding"
"chr1",6185020,6209389,24370,"-","ENSG00000116251.11","RPL22","protein_coding"
"chr1",6234692,6239444,4753,"+","ENSG00000225077.3","LINC00337","lncRNA"
"chr1",6221300,6235972,14673,"-","ENSG00000116237.16","ICMT","protein_coding"
"chr1",6264269,6393554,129286,"-","ENSG00000097021.20","ACOT7","protein_coding"
"chr1",6460981,6466175,5195,"-","ENSG00000215788.11","TNFRSF25","protein_coding"
"chr1",6467122,6520074,52953,"-","ENSG00000171680.23","PLEKHG5","protein_coding"
"chr1",6579994,6589280,9287,"+","ENSG00000204859.13","ZBTB48","protein_coding"
"chr1",7771296,7781432,10137,"+","ENSG00000049245.13","VAMP3","protein_coding"
"chr1",7776383,7776775,393,"+","ENSG00000269925.1","ENSG00000269925","lncRNA"
"chr1",7784291,7845177,60887,"+","ENSG00000049246.15","PER3","protein_coding"
"chr1",7954291,7985505,31215,"+","ENSG00000116288.13","PARK7","protein_coding"
"chr1",7991134,8005312,14179,"+","ENSG00000284747.1","ENSG00000284747","lncRNA"
"chr1",8424645,8435013,10369,"+","ENSG00000232912.6","RERE-AS1","lncRNA"
"chr1",9100305,9129102,28798,"-","ENSG00000180758.12","GPR157","protein_coding"
"chr1",9234774,9271337,36564,"+","ENSG00000049239.13","H6PD","protein_coding"
"chr1",9421098,9422862,1765,"-","ENSG00000284652.1","ENSG00000284652","lncRNA"
"chr1",9651731,9728925,77195,"+","ENSG00000171608.17","PIK3CD","protein_coding"
"chr1",9672405,9687573,15169,"-","ENSG00000231789.3","PIK3CD-AS2","lncRNA"
"chr1",9729115,9823984,94870,"-","ENSG00000171603.18","CLSTN1","protein_coding"
"chr1",9848276,9910336,62061,"-","ENSG00000178585.15","CTNNBIP1","protein_coding"
"chr1",9922113,9943407,21295,"-","ENSG00000162441.12","LZIC","protein_coding"
"chr1",9943428,9985501,42074,"+","ENSG00000173614.14","NMNAT1","protein_coding"
"chr1",10210570,10381603,171034,"+","ENSG00000054523.19","KIF1B","protein_coding"
"chr1",10395416,10397432,2017,"+","ENSG00000284642.1","ENSG00000284642","lncRNA"
"chr1",10398592,10420511,21920,"+","ENSG00000142657.21","PGD","protein_coding"
"chr1",10430783,10442808,12026,"+","ENSG00000175279.22","CENPS","protein_coding"
"chr1",10450031,10451998,1968,"+","ENSG00000241563.4","CORT","protein_coding"
"chr1",10456522,10472529,16008,"-","ENSG00000160049.12","DFFA","protein_coding"
"chr1",10474950,10630758,155809,"+","ENSG00000142655.13","PEX14","protein_coding"
"chr1",10612222,10616452,4231,"-","ENSG00000287727.1","ENSG00000287727","lncRNA"
"chr1",11026523,11047239,20717,"-","ENSG00000009724.17","MASP2","protein_coding"
"chr1",11099430,11102100,2671,"+","ENSG00000230337.2","EXOSC10-AS1","lncRNA"
"chr1",11273198,11296049,22852,"+","ENSG00000120942.14","UBIAD1","protein_coding"
"chr1",11654430,11663327,8898,"+","ENSG00000132879.14","FBXO44","protein_coding"
"chr1",11637018,11655785,18768,"-","ENSG00000116661.11","FBXO2","protein_coding"
"chr1",11664200,11674354,10155,"+","ENSG00000116663.11","FBXO6","protein_coding"
"chr1",11674480,11691650,17171,"-","ENSG00000116670.15","MAD2L2","protein_coding"
"chr1",11736084,11754802,18719,"+","ENSG00000177674.16","AGTRAP","protein_coding"
"chr1",11785723,11806455,20733,"-","ENSG00000177000.13","MTHFR","protein_coding"
"chr1",11807131,11848079,40949,"+","ENSG00000011021.23","CLCN6","protein_coding"
"chr1",11907940,11914298,6359,"+","ENSG00000285646.2","ENSG00000285646","lncRNA"
"chr1",11980181,12015211,35031,"+","ENSG00000116688.18","MFN2","protein_coding"
"chr1",12063303,12144207,80905,"+","ENSG00000120949.15","TNFRSF8","protein_coding"
"chr1",12167039,12209228,42190,"+","ENSG00000028137.19","TNFRSF1B","protein_coding"
"chr1",12230030,12512047,282018,"+","ENSG00000048707.15","VPS13D","protein_coding"
"chr1",13583465,13617957,34493,"+","ENSG00000162493.17","PDPN","protein_coding"
"chr1",13700188,13825079,124892,"+","ENSG00000116731.23","PRDM2","protein_coding"
"chr1",15153733,15220478,66746,"+","ENSG00000171729.14","TMEM51","protein_coding"
"chr1",15490832,15526534,35703,"-","ENSG00000132906.18","CASP9","protein_coding"
"chr1",15571734,15585051,13318,"-","ENSG00000116771.6","AGMAT","protein_coding"
"chr1",15586136,15603626,17491,"-","ENSG00000237301.1","ENSG00000237301","lncRNA"
"chr1",15736258,15741392,5135,"+","ENSG00000162461.8","SLC25A34","protein_coding"
"chr1",15720312,15736896,16585,"-","ENSG00000237938.5","ENSG00000237938","lncRNA"
"chr1",15807169,15809348,2180,"-","ENSG00000233954.6","UQCRHL","protein_coding"
"chr1",15834474,15836906,2433,"-","ENSG00000179743.4","FLJ37453","lncRNA"
"chr1",15941869,15976132,34264,"-","ENSG00000116809.12","ZBTB17","protein_coding"
"chr1",16018875,16034050,15176,"+","ENSG00000186510.12","CLCNKA","protein_coding"
"chr1",16057769,16073651,15883,"-","ENSG00000185519.9","FAM131C","protein_coding"
"chr1",16198217,16212652,14436,"-","ENSG00000142632.17","ARHGEF19","protein_coding"
"chr1",16228674,16231335,2662,"-","ENSG00000288398.1","ENSG00000288398","lncRNA"
"chr1",16231692,16237183,5492,"-","ENSG00000132881.12","CPLANE2","protein_coding"
"chr1",16352575,16398145,45571,"+","ENSG00000055070.17","SZRD1","protein_coding"
"chr1",16460948,16463287,2340,"+","ENSG00000226029.1","LINC01772","lncRNA"
"chr1",16562319,16613562,51244,"-","ENSG00000219481.11","NBPF1","protein_coding"
"chr1",16887577,16889725,2149,"-","ENSG00000238142.3","ENSG00000238142","lncRNA"
"chr1",16904339,16904776,438,"-","ENSG00000272426.1","ENSG00000272426","lncRNA"
"chr1",16921931,16972964,51034,"+","ENSG00000058453.17","CROCC","protein_coding"
"chr1",16985958,17011928,25971,"-","ENSG00000159363.19","ATP13A2","protein_coding"
"chr1",17066761,17119451,52691,"-","ENSG00000117115.13","PADI2","protein_coding"
"chr1",18871430,18902724,31295,"-","ENSG00000159423.17","ALDH4A1","protein_coding"
"chr1",18904280,18956676,52397,"-","ENSG00000169991.11","IFFO2","protein_coding"
"chr1",19072110,19075511,3402,"-","ENSG00000272084.1","ENSG00000272084","lncRNA"
"chr1",19076740,19210266,133527,"-","ENSG00000127481.15","UBR4","protein_coding"
"chr1",19215660,19251542,35883,"-","ENSG00000127463.16","EMC1","protein_coding"
"chr1",19251805,19260128,8324,"+","ENSG00000053372.5","MRTO4","protein_coding"
"chr1",19282573,19288770,6198,"-","ENSG00000162482.5","AKR7A3","protein_coding"
"chr1",19303965,19312144,8180,"-","ENSG00000053371.13","AKR7A2","protein_coding"
"chr1",19596977,19629821,32845,"+","ENSG00000173436.15","MICOS10","protein_coding"
"chr1",19664875,19680966,16092,"+","ENSG00000158748.4","HTR6","protein_coding"
"chr1",19682240,19799945,117706,"-","ENSG00000162542.14","TMCO4","protein_coding"
"chr1",19882395,19912945,30551,"+","ENSG00000169914.6","OTUD3","protein_coding"
"chr1",20111939,20119566,7628,"-","ENSG00000117215.15","PLA2G2D","protein_coding"
"chr1",20499448,20508151,8704,"-","ENSG00000090432.7","MUL1","protein_coding"
"chr1",20589086,20618903,29818,"+","ENSG00000158825.6","CDA","protein_coding"
"chr1",20642657,20651766,9110,"-","ENSG00000117242.7","PINK1-AS","lncRNA"
"chr1",20719731,20732837,13107,"-","ENSG00000189410.12","SH2D5","protein_coding"
"chr1",20740266,20787323,47058,"-","ENSG00000127483.19","HP1BP3","protein_coding"
"chr1",21217247,21345572,128326,"-","ENSG00000117298.16","ECE1","protein_coding"
"chr1",21440128,21485005,44878,"+","ENSG00000142794.19","NBPF3","protein_coding"
"chr1",21678298,21783606,105309,"-","ENSG00000090686.16","USP48","protein_coding"
"chr1",21827863,21937310,109448,"-","ENSG00000142798.20","HSPG2","protein_coding"
"chr1",22023990,22025492,1503,"-","ENSG00000228397.3","LINC01635","lncRNA"
"chr1",22025493,22028316,2824,"+","ENSG00000218510.9","LINC00339","lncRNA"
"chr1",22052627,22101360,48734,"+","ENSG00000070831.17","CDC42","protein_coding"
"chr1",22028380,22052927,24548,"-","ENSG00000285752.1","CDC42-AS1","lncRNA"
"chr1",22117313,22143969,26657,"-","ENSG00000162552.15","WNT4","protein_coding"
"chr1",22428838,22531157,102320,"+","ENSG00000184677.18","ZBTB40","protein_coding"
"chr1",22517474,22519708,2235,"+","ENSG00000237200.1","ZBTB40-IT1","lncRNA"
"chr1",23084030,23177808,93779,"-","ENSG00000169641.14","LUZP1","protein_coding"
"chr1",23359448,23368386,8939,"-","ENSG00000125945.15","ZNF436","protein_coding"
"chr1",23380909,23424748,43840,"-","ENSG00000204219.11","TCEA3","protein_coding"
"chr1",23691742,23696835,5094,"+","ENSG00000142676.14","RPL11","protein_coding"
"chr1",23743448,23762059,18612,"+","ENSG00000011007.13","ELOA","protein_coding"
"chr1",23801885,23838620,36736,"-","ENSG00000117305.15","HMGCL","protein_coding"
"chr1",23845077,23868290,23214,"-","ENSG00000179163.12","FUCA1","protein_coding"
"chr1",23870515,23913362,42848,"-","ENSG00000188822.8","CNR2","protein_coding"
"chr1",24154168,24187959,33792,"-","ENSG00000185436.12","IFNLR1","protein_coding"
"chr1",24199558,24364482,164925,"+","ENSG00000158055.17","GRHL3","protein_coding"
"chr1",24419291,24472976,53686,"+","ENSG00000001461.17","NIPAL3","protein_coding"
"chr1",24502383,24541040,38658,"+","ENSG00000117602.13","RCAN3","protein_coding"
"chr1",24631716,24673281,41566,"+","ENSG00000133226.18","SRRM1","protein_coding"
"chr1",24745382,24844321,98940,"+","ENSG00000169504.15","CLIC4","protein_coding"
"chr1",25041136,25047404,6269,"+","ENSG00000285823.1","LINC02793","lncRNA"
"chr1",25222276,25232502,10227,"-","ENSG00000117614.10","SYF2","protein_coding"
"chr1",25272439,25330445,58007,"+","ENSG00000187010.21","RHD","protein_coding"
"chr1",25338317,25362248,23932,"+","ENSG00000183726.11","TMEM50A","protein_coding"
"chr1",25362362,25430192,67831,"-","ENSG00000188672.19","RHCE","protein_coding"
"chr1",25543606,25568886,25281,"+","ENSG00000157978.12","LDLRAP1","protein_coding"
"chr1",25581478,25590356,8879,"+","ENSG00000225643.1","ENSG00000225643","lncRNA"
"chr1",25818223,25820761,2539,"-","ENSG00000228172.5","ENSG00000228172","lncRNA"
"chr1",25820798,25832942,12145,"+","ENSG00000117640.18","MTFR1L","protein_coding"
"chr1",25834006,25859458,25453,"-","ENSG00000127423.11","AUNIP","protein_coding"
"chr1",25861484,25875708,14225,"-","ENSG00000182749.6","PAQR7","protein_coding"
"chr1",25959767,25998117,38351,"-","ENSG00000158006.14","PAFAH2","protein_coding"
"chr1",26051301,26068436,17136,"-","ENSG00000158022.7","TRIM63","protein_coding"
"chr1",26111165,26125555,14391,"+","ENSG00000175087.10","PDIK1L","protein_coding"
"chr1",26169516,26171831,2316,"-","ENSG00000236782.7","ZNF593OS","protein_coding"
"chr1",26234200,26278808,44609,"+","ENSG00000130695.16","CEP85","protein_coding"
"chr1",26317958,26320523,2566,"+","ENSG00000169442.9","CD52","protein_coding"
"chr1",26432282,26471306,39025,"+","ENSG00000117682.17","DHDDS","protein_coding"
"chr1",26472440,26476642,4203,"+","ENSG00000198830.11","HMGN2","protein_coding"
"chr1",26529761,26575030,45270,"+","ENSG00000117676.14","RPS6KA1","protein_coding"
"chr1",26692132,26694131,2000,"-","ENSG00000260063.1","ENSG00000260063","lncRNA"
"chr1",26696015,26782104,86090,"+","ENSG00000117713.21","ARID1A","protein_coding"
"chr1",26787054,26800659,13606,"+","ENSG00000060642.12","PIGV","protein_coding"
"chr1",26826688,26857604,30917,"+","ENSG00000204160.12","ZDHHC18","protein_coding"
"chr1",27098809,27166981,68173,"-","ENSG00000090020.11","SLC9A1","protein_coding"
"chr1",27234632,27308636,74005,"+","ENSG00000142784.16","WDTC1","protein_coding"
"chr1",27322145,27336400,14256,"+","ENSG00000186501.15","TMEM222","protein_coding"
"chr1",27342020,27353932,11913,"+","ENSG00000142765.18","SYTL1","protein_coding"
"chr1",27669468,27703063,33596,"+","ENSG00000225886.3","ENSG00000225886","lncRNA"
"chr1",27819983,27820341,359,"+","ENSG00000270031.1","ENSG00000270031","lncRNA"
"chr1",27872543,27886685,14143,"+","ENSG00000130775.16","THEMIS2","protein_coding"
"chr1",27891524,27914746,23223,"-","ENSG00000117748.10","RPA2","protein_coding"
"chr1",27935000,27959157,24158,"+","ENSG00000130768.15","SMPDL3B","protein_coding"
"chr1",27959588,27968093,8506,"+","ENSG00000158156.9","XKR8","protein_coding"
"chr1",27970344,28088637,118294,"-","ENSG00000158161.16","EYA3","protein_coding"
"chr1",28199456,28233029,33574,"-","ENSG00000126698.11","DNAJC8","protein_coding"
"chr1",28236109,28246906,10798,"+","ENSG00000130770.18","ATP5IF1","protein_coding"
"chr1",28239509,28241453,1945,"-","ENSG00000270605.1","ENSG00000270605","lncRNA"
"chr1",28369582,28500364,130783,"+","ENSG00000204138.13","PHACTR4","protein_coding"
"chr1",28505943,28539300,33358,"+","ENSG00000180198.17","RCC1","protein_coding"
"chr1",28508906,28510892,1987,"+","ENSG00000242125.3","SNHG3","lncRNA"
"chr1",28592200,28595449,3250,"+","ENSG00000188060.8","RAB42","protein_coding"
"chr1",28736044,28736939,896,"-","ENSG00000289291.1","ENSG00000289291","lncRNA"
"chr1",28887091,29119428,232338,"+","ENSG00000159023.22","EPB41","protein_coding"
"chr1",29192657,29230942,38286,"-","ENSG00000116353.16","MECR","protein_coding"
"chr1",30718504,30726827,8324,"+","ENSG00000186056.10","MATN1-AS1","lncRNA"
"chr1",31296982,31364953,67972,"+","ENSG00000121766.16","ZCCHC17","protein_coding"
"chr1",31576485,31587686,11202,"+","ENSG00000142910.16","TINAGL1","protein_coding"
"chr1",31629866,31644896,15031,"-","ENSG00000162517.13","PEF1","protein_coding"
"chr1",31652263,31704319,52057,"-","ENSG00000084636.18","COL16A1","protein_coding"
"chr1",32072031,32102866,30836,"+","ENSG00000121775.18","TMEM39B","protein_coding"
"chr1",32108056,32176375,68320,"+","ENSG00000025800.14","KPNA6","protein_coding"
"chr1",32209089,32215846,6758,"+","ENSG00000222046.3","DCDC2B","protein_coding"
"chr1",32221077,32245397,24321,"+","ENSG00000084623.12","EIF3I","protein_coding"
"chr1",32214477,32221197,6721,"-","ENSG00000160055.20","TMEM234","protein_coding"
"chr1",32247222,32248856,1635,"+","ENSG00000183615.6","FAM167B","protein_coding"
"chr1",32361270,32362485,1216,"-","ENSG00000225828.2","FAM229A","protein_coding"
"chr1",32816767,32858875,42109,"+","ENSG00000116497.18","S100PBP","protein_coding"
"chr1",32862268,32872482,10215,"-","ENSG00000160097.20","FNDC5","protein_coding"
"chr1",32936445,32964809,28365,"-","ENSG00000116514.17","RNF19B","protein_coding"
"chr1",33081104,33123492,42389,"+","ENSG00000142920.17","AZIN2","protein_coding"
"chr1",33323623,33431095,107473,"-","ENSG00000134686.20","PHC2","protein_coding"
"chr1",33472645,33501643,28999,"+","ENSG00000121903.15","ZSCAN20","protein_coding"
"chr1",34712737,34859755,147019,"-","ENSG00000163866.9","SMIM12","protein_coding"
"chr1",34981535,34985353,3819,"-","ENSG00000243749.1","TMEM35B","protein_coding"
"chr1",35032172,35115859,83688,"+","ENSG00000197056.11","ZMYM1","protein_coding"
"chr1",35557473,35567274,9802,"+","ENSG00000020129.16","NCDN","protein_coding"
"chr1",35569807,35577771,7965,"-","ENSG00000239636.2","TFAP2E-AS1","lncRNA"
"chr1",35713877,35718894,5018,"-","ENSG00000142686.8","C1orf216","protein_coding"
"chr1",35930718,36072500,141783,"+","ENSG00000126070.20","AGO3","protein_coding"
"chr1",35992109,36013629,21521,"-","ENSG00000271554.1","ENSG00000271554","lncRNA"
"chr1",36155579,36180849,25271,"+","ENSG00000116871.16","MAP7D1","protein_coding"
"chr1",36391238,36397908,6671,"-","ENSG00000181817.6","LSM10","protein_coding"
"chr1",36415827,36450451,34625,"-","ENSG00000116885.18","OSCP1","protein_coding"
"chr1",37350934,37474432,123499,"-","ENSG00000233621.3","LINC01137","lncRNA"
"chr1",37489993,37514766,24774,"-","ENSG00000163875.16","MEAF6","protein_coding"
"chr1",37534449,37554293,19845,"-","ENSG00000163877.11","SNIP1","protein_coding"
"chr1",37566858,37595937,29080,"-","ENSG00000134697.13","GNL2","protein_coding"
"chr1",37681570,37692249,10680,"-","ENSG00000116922.15","C1orf109","protein_coding"
"chr1",37802945,37806976,4032,"-","ENSG00000196449.4","YRDC","protein_coding"
"chr1",37809574,37859592,50019,"-","ENSG00000188786.10","MTF1","protein_coding"
"chr1",37861092,37947057,85966,"-","ENSG00000204084.13","INPP5B","protein_coding"
"chr1",37956975,37990075,33101,"-","ENSG00000183431.12","SF3A3","protein_coding"
"chr1",37996770,38005606,8837,"-","ENSG00000183386.10","FHL3","protein_coding"
"chr1",38474825,38516520,41696,"+","ENSG00000238063.3","LINC01685","lncRNA"
"chr1",38754216,38815979,61764,"-","ENSG00000284632.1","ENSG00000284632","lncRNA"
"chr1",38838198,38859772,21575,"-","ENSG00000116954.8","RRAGC","protein_coding"
"chr1",38991276,39006059,14784,"+","ENSG00000174574.16","AKIRIN1","protein_coding"
"chr1",39026318,39034636,8319,"+","ENSG00000168653.11","NDUFS5","protein_coding"
"chr1",39491636,39529869,38234,"+","ENSG00000183682.8","BMP8A","protein_coding"
"chr1",39565052,39573860,8809,"+","ENSG00000228060.3","PABPC4-AS1","lncRNA"
"chr1",39560709,39576790,16082,"-","ENSG00000090621.15","PABPC4","protein_coding"
"chr1",39651229,39672107,20879,"-","ENSG00000116981.4","NT5C1A","protein_coding"
"chr1",39678648,39691485,12838,"-","ENSG00000116983.13","HPCAL4","protein_coding"
"chr1",39692182,39763914,71733,"+","ENSG00000084072.17","PPIE","protein_coding"
"chr1",39769523,39771348,1826,"-","ENSG00000198754.5","OXCT2","protein_coding"
"chr1",39779969,39781418,1450,"+","ENSG00000285905.1","BMP8B-AS1","lncRNA"
"chr1",39757182,39788865,31684,"-","ENSG00000116985.12","BMP8B","protein_coding"
"chr1",39788976,39790171,1196,"+","ENSG00000261798.1","ENSG00000261798","lncRNA"
"chr1",39799419,39809450,10032,"+","ENSG00000284719.2","ENSG00000284719","lncRNA"
"chr1",39838110,39883511,45402,"-","ENSG00000043514.17","TRIT1","protein_coding"
"chr1",39895426,39902256,6831,"-","ENSG00000116990.11","MYCL","protein_coding"
"chr1",40072710,40097260,24551,"-","ENSG00000131238.18","PPT1","protein_coding"
"chr1",40256427,40257967,1541,"-","ENSG00000259943.1","ZMPSTE24-DT","lncRNA"
"chr1",40258041,40294180,36140,"+","ENSG00000084073.10","ZMPSTE24","protein_coding"
"chr1",40300489,40317286,16798,"-","ENSG00000049089.15","COL9A2","protein_coding"
"chr1",40344850,40423326,78477,"+","ENSG00000084070.12","SMAP2","protein_coding"
"chr1",40493157,40508661,15505,"-","ENSG00000238287.1","ENSG00000238287","lncRNA"
"chr1",40508741,40515753,7013,"+","ENSG00000164002.12","EXO5","protein_coding"
"chr1",40659848,40667480,7633,"+","ENSG00000287743.1","ENSG00000287743","lncRNA"
"chr1",40620680,40665682,45003,"-","ENSG00000117016.10","RIMS3","protein_coding"
"chr1",40692067,40771603,79537,"+","ENSG00000066136.21","NFYC","protein_coding"
"chr1",40783787,40840452,56666,"+","ENSG00000117013.17","KCNQ4","protein_coding"
"chr1",40979696,41012565,32870,"+","ENSG00000171793.16","CTPS1","protein_coding"
"chr1",41014590,41043890,29301,"+","ENSG00000281207.1","SLFNL1-AS1","lncRNA"
"chr1",41020226,41023237,3012,"-","ENSG00000171790.16","SLFNL1","protein_coding"
"chr1",41027200,41242116,214917,"-","ENSG00000010803.16","SCMH1","protein_coding"
"chr1",41242373,41284861,42489,"+","ENSG00000235358.2","ENSG00000235358","lncRNA"
"chr1",41361922,41383590,21669,"+","ENSG00000204060.8","FOXO6","protein_coding"
"chr1",41478775,41484683,5909,"-","ENSG00000127129.10","EDN2","protein_coding"
"chr1",41506365,42035925,529561,"-","ENSG00000127124.16","HIVEP3","protein_coding"
"chr1",42380792,42424232,43441,"+","ENSG00000177181.15","RIMKLA","protein_coding"
"chr1",42430329,42456116,25788,"-","ENSG00000066185.13","ZMYND12","protein_coding"
"chr1",42658335,42676758,18424,"+","ENSG00000171960.12","PPIH","protein_coding"
"chr1",42746335,42767084,20750,"-","ENSG00000117385.16","P3H1","protein_coding"
"chr1",42767249,42779491,12243,"+","ENSG00000164008.17","C1orf50","protein_coding"
"chr1",42817122,42844991,27870,"+","ENSG00000164010.15","ERMAP","protein_coding"
"chr1",42807052,42817397,10346,"-","ENSG00000177868.12","SVBP","protein_coding"
"chr1",42832522,42846422,13901,"-","ENSG00000228192.9","ENSG00000228192","lncRNA"
"chr1",42846573,42852477,5905,"+","ENSG00000164011.18","ZNF691","protein_coding"
"chr1",42925850,42958893,33044,"-","ENSG00000117394.24","SLC2A1","protein_coding"
"chr1",42959049,42996814,37766,"+","ENSG00000227533.7","SLC2A1-AS1","lncRNA"
"chr1",43164175,43270936,106762,"-","ENSG00000117395.13","EBNA1BP2","protein_coding"
"chr1",43358981,43363203,4223,"+","ENSG00000117399.14","CDC20","protein_coding"
"chr1",43385113,43389155,4043,"+","ENSG00000229431.1","MED8-AS1","lncRNA"
"chr1",43383917,43389808,5892,"-","ENSG00000159479.17","MED8","protein_coding"
"chr1",43389882,43454247,64366,"+","ENSG00000198198.17","SZT2","protein_coding"
"chr1",43525187,43623666,98480,"+","ENSG00000142949.17","PTPRF","protein_coding"
"chr1",43705824,43931165,225342,"+","ENSG00000126091.21","ST3GAL3","protein_coding"
"chr1",43685123,43708138,23016,"-","ENSG00000236200.7","KDM4A-AS1","lncRNA"
"chr1",43937918,43940781,2864,"-","ENSG00000237950.3","ENSG00000237950","lncRNA"
"chr1",43944355,43946601,2247,"-","ENSG00000288573.2","ENSG00000288573","lncRNA"
"chr1",43970000,43973363,3364,"+","ENSG00000132768.14","DPH2","protein_coding"
